                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4649,                 1.9795,                 1.5005,                0.32814,                0.15884,                0.13155,                0.06271,                  1.822,                 1.3569,                  1.177,               0.067008,             0.00033326,             0.00033326
                      2,                 1.7267,                 1.2774,                 1.1519,                0.33408,                 0.2496,                0.22287,                 0.1115,                 1.5417,                 1.0691,                 1.0679,               0.034007,             0.00066643,             0.00066643
                      3,                   1.57,                  1.121,                 1.0876,                0.48365,                0.28528,                 0.2763,                 0.1442,                  1.437,                0.96346,                 1.0227,              0.0010066,             0.00099895,             0.00099895
                      4,                 1.4953,                 1.0437,                 1.0597,                0.43007,                0.30836,                0.31114,                0.16496,                 1.3839,                0.90728,                 1.0057,              0.0009978,              0.0009978,              0.0009978
                      5,                 1.4525,                0.99794,                 1.0417,                0.55464,                0.31881,                0.33345,                0.17795,                 1.3555,                0.87592,                0.99306,              0.0009961,              0.0009961,              0.0009961
                      6,                 1.4238,                0.96929,                 1.0306,                0.55981,                0.33564,                0.34719,                0.18811,                 1.3378,                0.85531,                0.98509,             0.00099391,             0.00099391,             0.00099391
                      7,                  1.406,                0.95068,                 1.0236,                 0.5758,                0.34388,                0.36216,                0.19657,                 1.3238,                0.83922,                 0.9794,             0.00099123,             0.00099123,             0.00099123
                      8,                 1.3916,                0.93461,                 1.0179,                0.60998,                0.34597,                0.37222,                0.20295,                 1.3133,                0.82707,                0.97522,             0.00098808,             0.00098808,             0.00098808
                      9,                 1.3784,                0.91913,                 1.0126,                0.59319,                0.35848,                0.38004,                0.20821,                 1.3051,                0.81752,                0.97164,             0.00098445,             0.00098445,             0.00098445
                     10,                  1.368,                0.90961,                 1.0092,                0.59074,                0.36214,                0.38532,                0.21084,                 1.2989,                0.81014,                0.96939,             0.00098035,             0.00098035,             0.00098035
                     11,                 1.3607,                 0.8993,                 1.0058,                0.60378,                0.36544,                0.39089,                0.21389,                 1.2938,                0.80393,                0.96729,             0.00097577,             0.00097577,             0.00097577
                     12,                 1.3529,                0.89227,                 1.0024,                0.61063,                0.36575,                 0.3947,                0.21659,                 1.2897,                0.79876,                0.96574,             0.00097074,             0.00097074,             0.00097074
                     13,                 1.3457,                0.88295,                0.99982,                0.60902,                0.37097,                0.39833,                0.21891,                 1.2866,                0.79508,                0.96443,             0.00096524,             0.00096524,             0.00096524
                     14,                 1.3408,                0.87876,                0.99786,                 0.6139,                 0.3723,                0.40135,                0.22067,                 1.2838,                0.79188,                0.96344,             0.00095929,             0.00095929,             0.00095929
                     15,                 1.3364,                0.87259,                 0.9961,                0.61582,                0.37234,                0.40327,                0.22177,                 1.2818,                0.78949,                0.96265,             0.00095289,             0.00095289,             0.00095289
                     16,                 1.3301,                0.86524,                0.99381,                0.61306,                0.37451,                0.40526,                0.22306,                 1.2797,                0.78708,                0.96182,             0.00094605,             0.00094605,             0.00094605
                     17,                 1.3256,                  0.862,                0.99202,                0.61854,                0.37523,                0.40724,                0.22421,                 1.2778,                 0.7851,                0.96096,             0.00093877,             0.00093877,             0.00093877
                     18,                 1.3206,                0.85722,                0.99002,                0.61773,                0.37854,                0.40908,                0.22554,                  1.276,                0.78334,                0.96026,             0.00093107,             0.00093107,             0.00093107
                     19,                 1.3157,                0.85099,                0.98867,                0.62021,                0.37967,                0.41126,                0.22688,                 1.2743,                0.78166,                0.95949,             0.00092294,             0.00092294,             0.00092294
                     20,                 1.3152,                0.84859,                 0.9883,                0.61623,                0.38309,                0.41267,                0.22801,                 1.2727,                0.77999,                0.95879,              0.0009144,              0.0009144,              0.0009144
                     21,                 1.3108,                0.84572,                0.98694,                 0.6213,                0.38197,                0.41435,                0.22943,                 1.2711,                0.77837,                0.95801,             0.00090546,             0.00090546,             0.00090546
                     22,                 1.3082,                0.84047,                 0.9856,                0.61826,                0.38491,                0.41549,                0.23051,                 1.2695,                0.77673,                0.95727,             0.00089613,             0.00089613,             0.00089613
                     23,                 1.3058,                0.83923,                0.98456,                0.62146,                0.38614,                 0.4175,                0.23164,                  1.268,                0.77501,                0.95658,              0.0008864,              0.0008864,              0.0008864
                     24,                  1.302,                0.83545,                0.98357,                0.62554,                0.38772,                0.41916,                0.23269,                 1.2665,                0.77338,                0.95588,              0.0008763,              0.0008763,              0.0008763
                     25,                 1.3007,                0.83296,                0.98252,                0.63145,                0.38718,                0.42069,                0.23372,                 1.2649,                0.77178,                0.95515,             0.00086584,             0.00086584,             0.00086584
                     26,                 1.2968,                 0.8303,                 0.9813,                0.63608,                0.38662,                0.42244,                0.23449,                 1.2636,                0.77019,                0.95452,             0.00085502,             0.00085502,             0.00085502
                     27,                 1.2949,                0.82675,                0.98081,                 0.6358,                0.39121,                0.42389,                0.23569,                 1.2622,                0.76853,                0.95392,             0.00084385,             0.00084385,             0.00084385
